CRN;title;courseNO;coursePrefix;timeEnd;timeStart;capacity;actual;credits;isHonors
23184;Race,Crime&African Amer Exp;542;AFC;08:20 pm;05:30 pm;0015;0013;0003;A
25955;Independent Study;599;AFC;12:00 am;12:00 am;0003;0003;0003;A
23245;Researching Black Communities;602;AFC;08:20 pm;05:30 pm;0005;0003;0003;A
22487;Visual Arts for Elem Teachers;220;ARTE;12:50 pm;11:00 am;0025;0000;0003;A
22637;Visual Arts for Elem Teachers;220;ARTE;02:50 pm;01:00 pm;0025;0007;0003;A
22638;Visual Arts for Elem Teachers;220;ARTE;12:40 pm;09:00 am;0025;0013;0003;A
27259;Visual Arts for Elem Teachers;220;ARTE;12:00 am;12:00 am;0025;0005;0003;A
22489;Visual Arts for Elem Teachers;220;ARTE;10:50 am;09:00 am;0025;0008;0003;A
27444;Visual Arts for Elem Teachers;220;ARTE;12:00 am;12:00 am;0025;0021;0003;A
23986;Visual Arts for Elem Teachers;220;ARTE;04:50 pm;03:00 pm;0025;0014;0003;A
23527;Interprtg Art in Visual Art Ed;355;ARTE;12:00 am;12:00 am;0000;0000;0003;C
26722;Intro to Visual Arts Education;357;ARTE;10:50 am;09:00 am;0015;0009;0003;A
22488;Curr & Assmt in Visl Arts Ed;358;ARTE;02:50 pm;01:00 pm;0015;0010;0003;A
24845;Practicum in Visl Arts Ed;359L4;ARTE;04:50 pm;03:00 pm;0015;0010;0003;A
22583;Art Appreciation;100;ARTH;12:15 pm;11:00 am;0050;0021;0003;A
23759;Art Appreciation;100;ARTH;04:45 pm;03:30 pm;0050;0001;0003;A
22584;Art Appreciation;100;ARTH;12:00 am;12:00 am;0000;0000;0003;C
22585;Art Appreciation;100;ARTH;12:00 am;12:00 am;0000;0000;0003;C
22586;Art Appreciation;100;ARTH;06:45 pm;05:30 pm;0050;0037;0003;A
26857;Art Appreciation;100;ARTH;04:45 pm;03:30 pm;0025;0005;0003;H
27181;Art Appreciation;100;ARTH;12:00 am;12:00 am;0050;0008;0003;A
27182;Art Appreciation;100;ARTH;12:00 am;12:00 am;0050;0042;0003;A
27183;Art Appreciation;100;ARTH;12:00 am;12:00 am;0050;0048;0003;A
27185;Art Appreciation;100;ARTH;12:00 am;12:00 am;0050;0048;0003;A
27186;Art Appreciation;100;ARTH;12:00 am;12:00 am;0050;0050;0003;A
23497;Art Appreciation;100;ARTH;03:15 pm;02:00 pm;0050;0042;0003;A
27605;Art Appreciation;100;ARTH;10:45 am;09:30 am;0050;0000;0003;A
24728;Reason and Revolution;151;ARTH;12:00 am;12:00 am;0000;0000;0003;C
26854;Survey of Non-Western Art;161;ARTH;12:00 am;12:00 am;0050;0026;0003;A
26855;Survey of Non-Western Art;161;ARTH;12:00 am;12:00 am;0050;0046;0003;A
23540;Survey of Western Art I;162;ARTH;10:45 am;09:30 am;0050;0007;0003;A
23760;Postmodern & Contmp Art;165;ARTH;12:00 am;12:00 am;0000;0000;0003;C
23761;Postmodern & Contmp Art;165;ARTH;12:00 am;12:00 am;0000;0000;0003;C
27438;Postmodern & Contmp Art;165;ARTH;12:15 pm;11:00 am;0050;0020;0003;A
23762;Survey of Western Art II;263;ARTH;01:45 pm;12:30 pm;0035;0021;0003;A
26723;Survey of Western Art III;264;ARTH;03:15 pm;02:00 pm;0035;0018;0003;A
23763;Survey of Western Art III;264;ARTH;12:00 am;12:00 am;0000;0000;0003;C
23576;History of Asian Art;267;ARTH;01:45 pm;12:30 pm;0050;0026;0003;A
25431;F L Wright;361W;ARTH;08:20 pm;05:30 pm;0015;0014;0003;A
24729;History of Classical Art;368;ARTH;12:00 am;12:00 am;0000;0000;0003;C
26872;Cult and Controversy;379;ARTH;12:15 pm;11:00 am;0035;0026;0003;A
26727;Women in Art;473;ARTH;10:45 am;09:30 am;0018;0013;0003;A
27495;Frank Lloyd Wright;475;ARTH;08:20 pm;05:30 pm;0010;0008;0003;A
22565;Contemporary Art in Detroit;475;ARTH;12:00 am;12:00 am;0000;0000;0003;C
26873;Cult and Controversy;479;ARTH;12:15 pm;11:00 am;0010;0010;0003;A
22866;Independent Study;498;ARTH;12:00 am;12:00 am;0005;0005;0002;A
27496;Frank Lloyd Wright;565;ARTH;08:20 pm;05:30 pm;0010;0007;0003;A
23764;Contemporary Art in Detroit;565;ARTH;12:00 am;12:00 am;0000;0000;0003;C
26728;Women in Art;573;ARTH;10:45 am;09:30 am;0018;0018;0003;A
26874;Cult and Controversy;592;ARTH;12:15 pm;11:00 am;0005;0004;0003;A
23912;Independent Study;599;ARTH;12:00 am;12:00 am;0005;0005;0003;A
25966;Independent Study;599;ARTH;12:00 am;12:00 am;0005;0005;0003;A
22566;Intro to Art;101;ARTS;06:45 pm;05:30 pm;0022;0009;0003;A
22572;Intro to Art;101;ARTS;05:15 pm;04:00 pm;0022;0003;0003;A
22587;Intro to Art;101;ARTS;12:00 am;12:00 am;0000;0000;0003;C
22588;Intro to Art;101;ARTS;02:50 pm;12:00 pm;0022;0014;0003;A
22589;Intro to Art;101;ARTS;01:45 pm;12:30 pm;0025;0000;0003;H
22590;Intro to Art;101;ARTS;04:45 pm;03:30 pm;0022;0002;0003;A
22591;Intro to Art;101;ARTS;12:00 am;12:00 am;0000;0000;0003;C
27471;Intro to Art;101;ARTS;11:50 am;09:00 am;0022;0012;0003;A
22592;Intro to Art;101;ARTS;05:45 pm;04:30 pm;0022;0012;0003;A
22593;Intro to Art;101;ARTS;07:15 pm;06:00 pm;0022;0017;0003;A
27472;Intro to Art;101;ARTS;11:50 am;09:00 am;0022;0021;0003;A
22594;Intro to Art;101;ARTS;10:45 am;09:30 am;0022;0000;0003;A
27480;Intro to Art;101;ARTS;11:50 am;09:00 am;0022;0020;0003;A
27538;Intro to Art;101;ARTS;08:00 pm;03:00 pm;0025;0023;0003;A
27538;Intro to Art;101;ARTS;02:00 pm;08:00 am;0025;0023;0003;A
27538;Intro to Art;101;ARTS;05:00 pm;08:00 am;0025;0023;0003;A
22925;Intro to Art;101;ARTS;06:45 pm;05:30 pm;0022;0021;0003;A
23765;Intro to Art;101;ARTS;03:15 pm;02:00 pm;0022;0000;0003;A
23766;Intro to Art;101;ARTS;12:00 am;12:00 am;0000;0000;0003;C
23767;Intro to Art;101;ARTS;04:15 pm;03:00 pm;0022;0000;0003;A
23768;Intro to Art;101;ARTS;08:20 pm;05:30 pm;0022;0012;0003;A
23807;Intro to Art;101;ARTS;08:15 pm;07:00 pm;0022;0020;0003;A
25303;Intro to Art;101;ARTS;08:20 pm;05:30 pm;0022;0016;0003;A
23770;Jewelry for Non-Majors;102;ARTS;10:50 am;09:00 am;0015;0000;0003;A
23914;Jewelry for Non-Majors;102;ARTS;04:50 pm;02:00 pm;0015;0009;0003;A
22450;Ceramics for Non-Majors;103;ARTS;11:20 am;09:30 am;0018;0000;0003;A
22469;Ceramics for Non-Majors;103;ARTS;01:50 pm;11:00 am;0018;0000;0003;A
22470;Ceramics for Non-Majors;103;ARTS;08:50 pm;06:00 pm;0018;0000;0003;A
23913;Ceramics for Non-Majors;103;ARTS;04:50 pm;02:00 pm;0018;0000;0003;A
26744;Ceramics for Non-Majors;103;ARTS;04:50 pm;02:00 pm;0008;0000;0003;A
23396;Graphic Design/Non-Major;104;ARTS;10:50 am;09:00 am;0019;0001;0003;A
22660;Graphic Design/Non-Major;104;ARTS;07:20 pm;05:30 pm;0020;0000;0003;A
24979;Graphic Design/Non-Major;104;ARTS;07:50 pm;06:00 pm;0020;0000;0003;A
26828;Photography for Non-Majors;105;ARTS;02:50 pm;12:00 pm;0018;0004;0003;A
27499;Photography for Non-Majors;105;ARTS;03:40 pm;10:00 am;0018;0000;0003;A
22661;Photography for Non-Majors;105;ARTS;12:00 am;12:00 am;0000;0000;0003;C
22807;Photography for Non-Majors;105;ARTS;04:50 pm;02:00 pm;0018;0001;0003;A
25277;Photography for Non-Majors;105;ARTS;01:50 pm;11:00 am;0018;0002;0003;A
23958;Photography for Non-Majors;105;ARTS;10:50 am;09:00 am;0018;0007;0003;H
25531;Watercolor for Non-majors;106L3;ARTS;04:50 pm;03:00 pm;0025;0000;0003;A
25532;Watercolor for Non-majors;106L3;ARTS;12:00 am;12:00 am;0000;0000;0003;C
26852;Watercolor for Non-majors;106L3;ARTS;07:20 pm;05:30 pm;0025;0000;0003;A
27484;Watercolor for Non-majors;106L3;ARTS;11:50 am;09:00 am;0025;0000;0003;A
22535;Two-Dimensional Design;121;ARTS;01:50 pm;11:00 am;0020;0007;0003;A
22595;Two-Dimensional Design;121;ARTS;11:50 am;09:00 am;0020;0011;0003;A
22596;Two-Dimensional Design;121;ARTS;04:50 pm;02:00 pm;0020;0000;0003;A
23777;Two-Dimensional Design;121;ARTS;01:50 pm;11:00 am;0020;0011;0003;A
23049;Two-Dimensional Design;121;ARTS;08:50 pm;06:00 pm;0020;0004;0003;A
22639;Three-Dimensional Design;122;ARTS;08:20 pm;05:30 pm;0020;0000;0003;A
22567;Three-Dimensional Design;122;ARTS;01:50 pm;11:00 am;0020;0000;0003;A
22568;Three-Dimensional Design;122;ARTS;02:50 pm;12:00 pm;0020;0000;0003;A
25341;Three-Dimensional Design;122;ARTS;11:50 am;09:00 am;0020;0009;0003;A
22571;Foundations Drawing I;123;ARTS;04:50 pm;02:00 pm;0018;0000;0003;A
22597;Foundations Drawing I;123;ARTS;02:50 pm;12:00 pm;0018;0001;0003;A
22598;Foundations Drawing I;123;ARTS;05:50 pm;03:00 pm;0018;0006;0003;A
23778;Foundations Drawing I;123;ARTS;10:50 am;08:00 am;0018;0007;0003;A
22640;Foundations Drawing II;126;ARTS;11:50 am;09:00 am;0018;0007;0003;A
23779;Foundations Drawing II;126;ARTS;01:50 pm;11:00 am;0018;0006;0003;A
23397;Foundations Digital Media;127;ARTS;11:50 am;09:00 am;0017;0014;0003;A
23820;Foundations Digital Media;127;ARTS;08:50 pm;06:00 pm;0017;0008;0003;A
26745;Printmaking for Non-Majors;179;ARTS;11:50 am;09:00 am;0005;0005;0003;A
26856;Fibers for Non-Majors;179;ARTS;11:50 am;09:00 am;0007;0006;0003;A
27706;Painting for Non-Majors;179;ARTS;01:50 pm;11:00 am;0010;0009;0003;A
22578;Painting I;201;ARTS;01:50 pm;11:00 am;0020;0013;0003;A
25825;Beginning Life Drawing;205;ARTS;11:50 am;09:00 am;0018;0008;0003;A
23881;Beginning Life Drawing;205;ARTS;01:50 pm;11:00 am;0018;0013;0003;A
22573;Screen Printing I;210;ARTS;02:50 pm;12:00 pm;0015;0007;0003;A
22471;Watercolor I;215;ARTS;02:50 pm;12:00 pm;0024;0017;0003;A
26020;Watermedia-Mixedmedia;216;ARTS;02:50 pm;12:00 pm;0010;0007;0003;A
26829;Beginning  Photography;221;ARTS;02:50 pm;12:00 pm;0018;0014;0003;A
27500;Beginning  Photography;221;ARTS;03:40 pm;10:00 am;0018;0018;0003;A
22662;Beginning  Photography;221;ARTS;12:00 am;12:00 am;0000;0000;0003;C
22663;Beginning  Photography;221;ARTS;04:50 pm;02:00 pm;0018;0017;0003;A
25278;Beginning  Photography;221;ARTS;01:50 pm;11:00 am;0018;0016;0003;A
22778;Beginning Ceramics;225;ARTS;04:50 pm;02:00 pm;0018;0011;0003;A
22579;Metalsmithing I;230;ARTS;04:50 pm;02:00 pm;0015;0006;0003;A
23530;Beginning Sculpture;235;ARTS;02:50 pm;12:00 pm;0015;0010;0003;A
22481;Introduction to Fibers;240;ARTS;11:50 am;09:00 am;0015;0002;0003;A
22569;Intro to Furniture Design;245;ARTS;04:50 pm;02:00 pm;0015;0010;0003;A
25308;Introduction Graphic Design I;250;ARTS;02:50 pm;12:00 pm;0020;0012;0003;A
26735;Introduction Graphic Design I;250;ARTS;12:00 am;12:00 am;0020;0020;0003;C
26077;Intro to Time-based Media;255;ARTS;05:50 pm;03:00 pm;0018;0013;0003;A
22870;Co-op Education in Art;287;ARTS;12:00 am;12:00 am;0000;0000;0001;A
22872;Co-op Education in Art;289;ARTS;12:00 am;12:00 am;0000;0001;0003;A
23169;Co-op Education in Art;289;ARTS;12:00 am;12:00 am;0000;0000;0003;A
27481;Studio Concepts;290W;ARTS;08:50 pm;06:00 pm;0010;0008;0003;A
27482;Studio Concepts;290W;ARTS;08:20 pm;05:30 pm;0010;0006;0003;A
23573;Color Theory;300;ARTS;04:50 pm;02:00 pm;0020;0000;0003;A
22680;Figurative Painting;302;ARTS;02:50 pm;12:00 pm;0015;0010;0003;A
26751;Intermediate Life Drawing;305;ARTS;01:50 pm;11:00 am;0018;0012;0003;A
23974;Intermediate Life Drawing;305;ARTS;11:50 am;09:00 am;0018;0011;0003;A
22576;Intermediate Drawing;306;ARTS;04:50 pm;02:00 pm;0020;0016;0003;A
22885;Drawing:Contemp Methds&Matrls;307;ARTS;12:00 am;12:00 am;0000;0000;0003;C
27680;Drawing:Contemp Methds&Matrls;307;ARTS;10:50 am;08:00 am;0020;0011;0003;A
22574;Screen Printing II;310;ARTS;02:50 pm;12:00 pm;0015;0012;0003;A
26746;Relief Printmaking;313;ARTS;11:50 am;09:00 am;0015;0010;0003;A
22472;Watercolor II;315;ARTS;02:50 pm;12:00 pm;0024;0022;0003;A
22474;Watercolor III;316;ARTS;02:50 pm;12:00 pm;0024;0023;0003;A
23898;Intermediate Photography III;323;ARTS;05:50 pm;03:00 pm;0015;0011;0003;A
22451;Intermediate Ceramics I;325;ARTS;04:50 pm;02:00 pm;0018;0018;0003;A
22452;Intermediate Ceramics II;326;ARTS;04:50 pm;02:00 pm;0018;0015;0003;A
22580;Metalsmithing II;330;ARTS;05:50 pm;03:00 pm;0015;0014;0003;A
22581;Metalsmithing III;331;ARTS;05:50 pm;03:00 pm;0015;0015;0003;A
23042;Intermediate Sculpture;335;ARTS;08:50 pm;06:00 pm;0015;0009;0003;A
23203;Weaving;340;ARTS;05:50 pm;03:00 pm;0015;0011;0003;A
22570;Intermediate Furniture Design;345;ARTS;04:50 pm;02:00 pm;0015;0014;0003;A
25560;Introduction Graphic Design II;350;ARTS;04:50 pm;02:00 pm;0020;0013;0003;A
25559;Image Making I;351;ARTS;11:50 am;09:00 am;0020;0012;0003;A
24850;Intermediate Graphic Design I;352;ARTS;01:50 pm;11:00 am;0020;0009;0003;A
24860;Intermediate Graphic Design II;353;ARTS;01:50 pm;11:00 am;0020;0015;0003;A
27715;Intro to Web & Intractve Media;355;ARTS;05:50 pm;03:00 pm;0008;0004;0003;A
26853;Installation and Performance;356;ARTS;12:00 am;12:00 am;0000;0000;0003;C
26837;Intermediate Time-based Media;357;ARTS;05:50 pm;03:00 pm;0018;0015;0003;A
27477;Studio Concepts;390W;ARTS;08:50 pm;06:00 pm;0010;0010;0003;A
22985;Studio Concepts;390W;ARTS;08:20 pm;05:30 pm;0010;0005;0003;A
24713;Studio Concepts;390W;ARTS;12:00 am;12:00 am;0000;0000;0003;C
22533;Advanced Painting I;401;ARTS;02:50 pm;12:00 pm;0020;0020;0003;A
22534;Advanced Painting II;403;ARTS;02:50 pm;12:00 pm;0020;0020;0003;A
26750;Advanced Life Drawing;405;ARTS;01:50 pm;11:00 am;0018;0017;0003;A
23975;Advanced Life Drawing;405;ARTS;11:50 am;09:00 am;0018;0017;0003;A
23050;Advanced Drawing;406;ARTS;04:50 pm;02:00 pm;0020;0019;0003;A
26749;Advanced Life Drawing II;407;ARTS;01:50 pm;11:00 am;0018;0018;0003;A
23976;Advanced Life Drawing II;407;ARTS;11:50 am;09:00 am;0018;0017;0003;A
22577;Advanced Drawing II;408;ARTS;04:50 pm;02:00 pm;0020;0018;0003;A
26747;Intermediate Printmaking;410;ARTS;02:50 pm;12:00 pm;0015;0015;0003;A
25956;Intermediate Printmaking;410;ARTS;11:50 am;09:00 am;0015;0015;0003;A
26748;Advanced Printmaking;411;ARTS;02:50 pm;12:00 pm;0015;0014;0003;A
25958;Advanced Printmaking;411;ARTS;11:50 am;09:00 am;0010;0010;0003;A
22475;Watercolor IV;416;ARTS;02:50 pm;12:00 pm;0024;0022;0003;A
23899;Photography Portfolio I;421;ARTS;05:50 pm;03:00 pm;0015;0015;0003;A
23900;Photography Portfolio II;422;ARTS;05:50 pm;03:00 pm;0015;0013;0003;A
22453;Advanced Ceramics I;425;ARTS;04:50 pm;02:00 pm;0018;0018;0003;A
22454;Advanced Ceramics II;426;ARTS;04:50 pm;02:00 pm;0018;0018;0003;A
22582;Metalsmithing IV;430;ARTS;05:50 pm;03:00 pm;0015;0013;0003;A
22817;Metalsmithing V;431;ARTS;12:00 am;12:00 am;0000;0000;0003;C
27752;Metalsmithing V;431;ARTS;05:50 pm;03:00 pm;0005;0005;0003;A
24859;Advanced Sculpture I;435;ARTS;08:50 pm;06:00 pm;0015;0014;0003;A
22537;Advanced Sculpture II;436;ARTS;08:50 pm;06:00 pm;0015;0014;0003;A
22538;Advanced Sculpture III;437;ARTS;08:50 pm;06:00 pm;0015;0015;0003;A
22482;Three-Dimensional Fibers;440;ARTS;05:50 pm;03:00 pm;0015;0014;0003;A
22879;Advanced Fibers;443;ARTS;05:50 pm;03:00 pm;0015;0015;0003;A
22876;Advanced Furniture Design I;445;ARTS;04:50 pm;02:00 pm;0015;0015;0003;A
22995;Advanced Furniture Design II;446;ARTS;04:50 pm;02:00 pm;0005;0005;0003;A
23202;Furniture Design Portfolio;447;ARTS;04:50 pm;02:00 pm;0005;0005;0003;A
24977;Image Making II;451;ARTS;02:40 pm;09:00 am;0020;0013;0003;A
24978;Advanced Graphic Design;452;ARTS;02:40 pm;09:00 am;0020;0017;0003;A
26838;Advanced Time-based Media I;455;ARTS;05:50 pm;03:00 pm;0018;0018;0003;A
26839;Advanced Time-based Media II;456;ARTS;05:50 pm;03:00 pm;0018;0018;0003;A
23963;Capstone;490W;ARTS;12:15 pm;11:00 am;0015;0006;0003;A
22865;Independent Study;497;ARTS;12:00 am;12:00 am;0005;0005;0001;A
23162;Independent Study;497;ARTS;12:00 am;12:00 am;0005;0005;0001;A
23158;Independent Study;498;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22782;Independent Study;499;ARTS;12:00 am;12:00 am;0006;0006;0003;A
22814;Independent Study;499;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22815;Independent Study;499;ARTS;12:00 am;12:00 am;0005;0005;0003;A
23132;Independent Study;499;ARTS;12:00 am;12:00 am;0005;0005;0003;A
23133;Independent Study;499;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22742;Painting;500;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
22751;Drawing;505;ARTS;04:50 pm;02:00 pm;0005;0005;0002;A
22476;Watercolor;510;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
25959;Printmaking;515;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
23902;Photography;520;ARTS;05:50 pm;03:00 pm;0005;0005;0002;A
22455;Ceramics;525;ARTS;04:50 pm;02:00 pm;0005;0005;0002;A
22747;Metalsmithing;530;ARTS;05:50 pm;03:00 pm;0005;0005;0002;A
22539;Sculpture;535;ARTS;08:50 pm;06:00 pm;0005;0005;0002;A
22483;Fibers;540;ARTS;05:50 pm;03:00 pm;0005;0005;0002;A
22735;Graphic Design;550;ARTS;12:00 am;12:00 am;0005;0005;0002;A
23960;Advanced Graphic Design;552;ARTS;02:40 pm;09:00 am;0005;0005;0003;A
26840;Grad Intro to Time-based Media;555;ARTS;05:50 pm;03:00 pm;0005;0005;0003;A
27716;Web and Interactive Media;558;ARTS;05:50 pm;03:00 pm;0002;0002;0003;A
23961;MA Critq&Profssl Prep Seminar;570;ARTS;12:00 am;12:00 am;0000;0000;0003;C
27502;MA Critq&Profssl Prep Seminar;570;ARTS;12:00 am;12:00 am;0000;0000;0003;C
27656;MA Critq&Profssl Prep Seminar;570;ARTS;08:20 pm;05:30 pm;0015;0014;0003;A
27457;Furniture;592;ARTS;04:50 pm;02:00 pm;0005;0005;0003;A
23052;Furniture Design;592;ARTS;12:00 am;12:00 am;0000;0000;0003;C
23884;Figurative Painting;592;ARTS;12:00 am;12:00 am;0000;0000;0003;C
22697;Independent Study;597;ARTS;12:00 am;12:00 am;0005;0005;0001;A
22698;Independent Study;597;ARTS;12:00 am;12:00 am;0005;0005;0001;A
22699;Independent Study;597;ARTS;12:00 am;12:00 am;0005;0005;0001;A
22700;Independent Study;597;ARTS;12:00 am;12:00 am;0005;0005;0001;A
22701;Independent Study;597;ARTS;12:00 am;12:00 am;0005;0005;0001;A
22702;Independent Study;598;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22703;Independent Study;598;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22704;Independent Study;598;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22705;Independent Study;598;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22706;Independent Study;598;ARTS;12:00 am;12:00 am;0005;0005;0002;A
22709;Independent Study;599;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22710;Independent Study;599;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22711;Independent Study;599;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22712;Independent Study;599;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22713;Independent Study;599;ARTS;12:00 am;12:00 am;0005;0005;0003;A
22743;Painting;600;ARTS;12:00 am;12:00 am;0000;0000;0001;C
25948;Painting;600;ARTS;02:50 pm;12:00 pm;0005;0004;0001;A
22744;Painting;601;ARTS;12:00 am;12:00 am;0000;0000;0002;C
25949;Painting;601;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
22745;Painting;602;ARTS;02:50 pm;12:00 pm;0005;0005;0003;A
22746;Painting;603;ARTS;02:50 pm;12:00 pm;0005;0005;0004;A
22752;Drawing;605;ARTS;04:50 pm;02:00 pm;0005;0005;0001;A
22753;Drawing;606;ARTS;04:50 pm;02:00 pm;0005;0005;0002;A
23980;Drawing;607;ARTS;04:50 pm;02:00 pm;0007;0006;0003;A
22478;Watercolor;610;ARTS;02:50 pm;12:00 pm;0005;0005;0001;A
22479;Watercolor;611;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
22480;Watercolor;612;ARTS;02:50 pm;12:00 pm;0005;0004;0003;A
25960;Printmaking;615;ARTS;02:50 pm;12:00 pm;0005;0005;0001;A
25961;Printmaking;616;ARTS;02:50 pm;12:00 pm;0005;0005;0002;A
25962;Printmaking;617;ARTS;02:50 pm;12:00 pm;0005;0004;0003;A
23903;Photography I;620;ARTS;05:50 pm;03:00 pm;0005;0004;0001;A
23904;Photography II;621;ARTS;05:50 pm;03:00 pm;0005;0004;0002;A
23905;Photography III;622;ARTS;05:50 pm;03:00 pm;0005;0004;0003;A
23906;Photography IV;623;ARTS;05:50 pm;03:00 pm;0005;0005;0004;A
22456;Ceramics;625;ARTS;04:50 pm;02:00 pm;0005;0005;0001;A
22457;Ceramics;626;ARTS;04:50 pm;02:00 pm;0005;0005;0002;A
22458;Ceramics;627;ARTS;04:50 pm;02:00 pm;0005;0005;0003;A
22748;Metalsmithing;630;ARTS;05:50 pm;03:00 pm;0005;0005;0001;A
22749;Metalsmithing;631;ARTS;05:50 pm;03:00 pm;0005;0005;0002;A
22750;Metalsmithing;632;ARTS;05:50 pm;03:00 pm;0005;0005;0003;A
